ID,Sex,Marital status,Age,Income,Settlement size,Education_highschool,Education_other_unknown,Education_university,Occupation_skilledemployee_official,Occupation_unemployed_unskilled
1,0,0,67,124670,2,False,False,True,True,False
2,1,1,22,150773,2,True,False,False,True,False
3,0,0,49,89210,0,True,False,False,False,True
4,0,0,45,171565,1,True,False,False,True,False
5,0,0,53,149031,1,True,False,False,True,False
6,0,0,35,144848,0,True,False,False,False,True
7,0,0,53,156495,1,True,False,False,True,False
8,0,0,35,193621,1,True,False,False,False,False
9,0,1,61,151591,0,False,False,True,False,True
10,0,1,28,174646,0,True,False,False,False,False
11,1,1,25,108469,0,True,False,False,True,False
12,1,1,24,127596,0,True,False,False,True,False
13,1,1,22,108687,2,True,False,False,True,False
14,0,0,60,89374,0,False,False,True,False,True
15,1,1,28,102899,1,True,False,False,True,False
16,1,1,32,88428,0,True,False,False,False,True
17,0,0,53,125550,0,True,False,False,True,False
18,0,0,25,157434,2,False,True,False,True,False
19,1,1,44,261952,2,False,False,True,False,False
20,0,0,31,144657,1,False,True,False,True,False
21,0,0,48,118777,1,True,False,False,True,False
22,0,0,44,147511,1,True,False,False,True,False
23,0,0,48,89804,0,True,False,False,False,True
24,0,0,44,134918,2,True,False,False,True,False
25,0,1,26,103667,2,True,False,False,True,False
26,0,0,36,71909,0,True,False,False,False,True
27,0,1,39,68264,0,True,False,False,False,True
28,1,1,42,163025,1,False,False,True,True,False
29,0,0,34,119307,1,True,False,False,True,False
30,0,0,63,175882,0,False,False,True,True,False
31,0,1,36,159646,1,True,False,False,True,False
32,0,0,27,120131,1,False,True,False,True,False
33,0,0,30,162745,2,False,True,False,True,False
34,0,0,57,87605,0,False,False,True,False,True
35,1,1,33,155569,1,True,False,False,False,False
36,0,0,25,104505,0,False,True,False,False,True
37,0,0,31,143385,2,False,True,False,True,False
38,0,0,37,127676,1,True,False,False,True,False
39,0,0,37,119276,1,True,False,False,True,False
40,0,0,24,92542,1,False,True,False,True,False
41,0,0,30,163329,1,False,True,False,False,False
42,0,1,26,130921,0,True,False,False,True,False
43,0,0,44,133658,0,True,False,False,False,True
44,0,1,24,155104,1,True,False,False,True,False
45,1,1,58,142335,1,False,False,True,False,True
46,1,1,35,138387,1,True,False,False,False,False
47,0,0,39,140182,0,True,False,False,True,False
48,1,1,23,65421,0,True,False,False,False,True
49,0,0,39,130500,0,True,False,False,False,True
50,1,1,28,122831,0,True,False,False,True,False
51,0,0,29,84531,0,False,True,False,False,True
52,0,0,30,180196,2,False,True,False,False,False
53,0,0,25,92058,2,False,True,False,True,False
54,0,0,31,117158,0,False,True,False,True,False
55,0,0,57,135830,1,False,False,True,True,False
56,0,0,26,58258,0,False,True,False,False,True
57,0,0,52,202575,2,True,False,False,False,False
58,1,1,31,183657,1,True,False,False,True,False
59,1,1,23,152267,1,True,False,False,False,False
60,1,1,23,115240,0,True,False,False,False,True
61,0,1,27,106955,2,True,False,False,True,False
62,0,0,50,123641,1,True,False,False,True,False
63,0,0,61,166410,1,False,False,True,False,False
